Pass Index,Pass Time,Pass Distance,Ground Made Up,# Defenders Passed,Passer,Transition Index,Transition Trigger,Outcome,OutcomeMSG,OutcomeMSGaction,Team Id,Game Id
93,3.72,"(9.78, -8.79, 13.15)",[0.33 2.18 6.59 0.87 3.79],0.0,Robert Williams III,20,SHOT,no shot,,,feb4cb57-89ef-11e6-86b2-a45e60e298d3,31cb8a55-0ee0-4d47-aa38-4f512e54e763
90,3.6,"(4.96, -5.9, 7.71)",[0.08 1.07 3.16 4.05 3.35],0.0,Jayson Tatum,22,SHOT,no shot,,,feb4cb57-89ef-11e6-86b2-a45e60e298d3,31cb8a55-0ee0-4d47-aa38-4f512e54e763
110,4.4,"(0.66, 6.05, 6.09)",[-8.71 -7.45 -4.28  0.46 -1.91],0.0,Grant Williams,22,SHOT,no shot,,,feb4cb57-89ef-11e6-86b2-a45e60e298d3,31cb8a55-0ee0-4d47-aa38-4f512e54e763
93,3.72,"(7.44, 7.22, 10.37)",[2.86 2.96 1.85 2.94 5.01],0.0,Al Horford,23,SHOT,no shot,,,feb4cb57-89ef-11e6-86b2-a45e60e298d3,31cb8a55-0ee0-4d47-aa38-4f512e54e763
96,3.84,"(4.51, -4.56, 6.41)",[1.46 0.42 2.41 2.39 2.45],0.0,Jaylen Brown,24,SHOT,no shot,,,feb4cb57-89ef-11e6-86b2-a45e60e298d3,31cb8a55-0ee0-4d47-aa38-4f512e54e763
87,3.48,"(4.76, -3.55, 5.94)",[1.57 1.36 1.67 2.43 3.42],0.0,Grant Williams,27,SHOT,no shot,,,feb4cb57-89ef-11e6-86b2-a45e60e298d3,31cb8a55-0ee0-4d47-aa38-4f512e54e763
121,4.84,"(22.62, -7.78, 23.92)",[15.48 14.06 13.66 21.03 18.95],0.0,Marcus Smart,27,SHOT,no shot,,,feb4cb57-89ef-11e6-86b2-a45e60e298d3,31cb8a55-0ee0-4d47-aa38-4f512e54e763
151,6.04,"(11.78, 9.04, 14.85)",[ 8.8  13.5   8.13 -0.44 12.67],0.0,Marcus Smart,28,SHOT,no shot,,,feb4cb57-89ef-11e6-86b2-a45e60e298d3,31cb8a55-0ee0-4d47-aa38-4f512e54e763
94,3.76,"(8.43, 2.59, 8.82)",[3.92 3.51 3.45 3.82 6.29],0.0,Marcus Smart,29,SHOT,no shot,,,feb4cb57-89ef-11e6-86b2-a45e60e298d3,31cb8a55-0ee0-4d47-aa38-4f512e54e763
148,5.92,"(-1.67, -0.69, 1.81)",[-3.51 -3.3  -5.34 -4.58 -2.78],0.0,Al Horford,29,SHOT,no shot,,,feb4cb57-89ef-11e6-86b2-a45e60e298d3,31cb8a55-0ee0-4d47-aa38-4f512e54e763
84,3.36,"(20.41, 12.91, 24.15)",[ 9.67 13.72  9.97 15.69 10.94],1.0,Jayson Tatum,30,SHOT,no shot,,,feb4cb57-89ef-11e6-86b2-a45e60e298d3,31cb8a55-0ee0-4d47-aa38-4f512e54e763
68,2.72,"(5.38, 4.01, 6.71)",[1.37 2.06 1.56 0.94 2.83],0.0,Robert Williams III,31,SHOT,no shot,,,feb4cb57-89ef-11e6-86b2-a45e60e298d3,31cb8a55-0ee0-4d47-aa38-4f512e54e763
137,5.48,"(18.09, -4.31, 18.6)",[ 6.38  9.83 14.59 13.59 17.92],0.0,Al Horford,33,SHOT,no shot,,,feb4cb57-89ef-11e6-86b2-a45e60e298d3,31cb8a55-0ee0-4d47-aa38-4f512e54e763
121,4.84,"(8.16, 0.57, 8.18)",[-0.08  8.61  2.08 -1.37  3.9 ],0.0,Jaylen Brown,35,SHOT,no shot,,,feb4cb57-89ef-11e6-86b2-a45e60e298d3,31cb8a55-0ee0-4d47-aa38-4f512e54e763
82,3.28,"(21.63, 8.78, 23.34)",[ 9.81 17.7  12.63 10.44 10.94],0.0,Robert Williams III,36,SHOT,no shot,,,feb4cb57-89ef-11e6-86b2-a45e60e298d3,31cb8a55-0ee0-4d47-aa38-4f512e54e763
103,4.12,"(7.77, -4.21, 8.84)",[0.82 5.38 0.91 2.61 4.44],0.0,Robert Williams III,37,SHOT,no shot,,,feb4cb57-89ef-11e6-86b2-a45e60e298d3,31cb8a55-0ee0-4d47-aa38-4f512e54e763
92,3.68,"(13.8, 9.04, 16.5)",[7.16 7.32 9.04 3.5  9.06],0.0,Al Horford,39,SHOT,no shot,,,feb4cb57-89ef-11e6-86b2-a45e60e298d3,31cb8a55-0ee0-4d47-aa38-4f512e54e763
127,5.08,"(16.03, -23.4, 28.36)",[ 0.84  4.97  8.06 -0.38  6.15],0.0,Jayson Tatum,39,SHOT,no shot,,,feb4cb57-89ef-11e6-86b2-a45e60e298d3,31cb8a55-0ee0-4d47-aa38-4f512e54e763
87,3.48,"(9.94, 4.45, 10.89)",[6.33 6.37 6.46 7.47 7.71],0.0,Jaylen Brown,40,SHOT,no shot,,,feb4cb57-89ef-11e6-86b2-a45e60e298d3,31cb8a55-0ee0-4d47-aa38-4f512e54e763
114,4.56,"(8.08, -13.3, 15.56)",[3.71 5.97 3.37 4.91 6.34],0.0,Al Horford,40,SHOT,no shot,,,feb4cb57-89ef-11e6-86b2-a45e60e298d3,31cb8a55-0ee0-4d47-aa38-4f512e54e763
94,3.76,"(1.01, 0.62, 1.19)",[0.09 0.34 0.08 0.03 0.46],0.0,Al Horford,41,SHOT,no shot,,,feb4cb57-89ef-11e6-86b2-a45e60e298d3,31cb8a55-0ee0-4d47-aa38-4f512e54e763
85,3.4,"(25.15, 11.48, 27.65)",[10.88 12.49 10.55 18.11 15.18],0.0,Marcus Smart,42,SHOT,no shot,,,feb4cb57-89ef-11e6-86b2-a45e60e298d3,31cb8a55-0ee0-4d47-aa38-4f512e54e763
140,5.6,"(-1.4, -9.61, 9.71)",[ -7.07  -3.3   -4.19  -3.18 -10.04],0.0,Derrick White,42,SHOT,no shot,,,feb4cb57-89ef-11e6-86b2-a45e60e298d3,31cb8a55-0ee0-4d47-aa38-4f512e54e763
124,4.96,"(2.83, 4.21, 5.07)",[0.12 1.13 0.66 2.79 1.01],0.0,Jaylen Brown,43,SHOT,no shot,,,feb4cb57-89ef-11e6-86b2-a45e60e298d3,31cb8a55-0ee0-4d47-aa38-4f512e54e763
41,1.64,"(3.75, -5.54, 6.69)",[ 20.98 -20.84  15.99 -15.43   2.85],1.0,Robert Williams III,45,REB,turnover,,,feb4cb57-89ef-11e6-86b2-a45e60e298d3,31cb8a55-0ee0-4d47-aa38-4f512e54e763
28,1.12,"(37.61, 8.2, 38.49)",[12.09 25.45 38.31 27.07 32.65],3.0,Jayson Tatum,46,REB,no shot,,,feb4cb57-89ef-11e6-86b2-a45e60e298d3,31cb8a55-0ee0-4d47-aa38-4f512e54e763
107,4.28,"(5.27, -15.51, 16.38)",[  8.2  -10.81  10.35   1.67   2.22],0.0,Marcus Smart,46,REB,no shot,,,feb4cb57-89ef-11e6-86b2-a45e60e298d3,31cb8a55-0ee0-4d47-aa38-4f512e54e763
176,7.04,"(-14.54, 7.59, 16.4)",[-13.34 -11.48  -7.13 -13.68 -26.33],0.0,Al Horford,46,REB,no shot,,,feb4cb57-89ef-11e6-86b2-a45e60e298d3,31cb8a55-0ee0-4d47-aa38-4f512e54e763
41,1.64,"(0.73, 3.24, 3.32)",[-0.71 -0.68 -0.99 -0.47 -0.48],0.0,Al Horford,47,REB,turnover,,,feb4cb57-89ef-11e6-86b2-a45e60e298d3,31cb8a55-0ee0-4d47-aa38-4f512e54e763
61,2.44,"(29.73, 7.94, 30.77)",[19.65 20.97 18.7  25.56 23.48],2.0,Jayson Tatum,47,REB,turnover,,,feb4cb57-89ef-11e6-86b2-a45e60e298d3,31cb8a55-0ee0-4d47-aa38-4f512e54e763
92,3.68,"(16.61, 9.0, 18.89)",[ 8.64 13.55 16.75  8.05 11.51],0.0,Grant Williams,49,REB,no shot,,,feb4cb57-89ef-11e6-86b2-a45e60e298d3,31cb8a55-0ee0-4d47-aa38-4f512e54e763
18,0.72,"(3.03, 4.46, 5.39)",[1.39 1.08 1.03 1.44 1.12],0.0,Al Horford,51,REB,shot,2.0,6.0,feb4cb57-89ef-11e6-86b2-a45e60e298d3,31cb8a55-0ee0-4d47-aa38-4f512e54e763
165,6.6,"(11.82, 0.9, 11.85)",[12.6  10.32 10.72  8.88 11.49],4.0,Jaylen Brown,52,REB,no shot,,,feb4cb57-89ef-11e6-86b2-a45e60e298d3,31cb8a55-0ee0-4d47-aa38-4f512e54e763
56,2.24,"(13.81, 11.06, 17.69)",[10.87  9.26  7.11  9.55 10.67],1.0,Grant Williams,53,REB,no shot,,,feb4cb57-89ef-11e6-86b2-a45e60e298d3,31cb8a55-0ee0-4d47-aa38-4f512e54e763
122,4.88,"(-8.13, -1.51, 8.27)",[ -8.22 -10.07  -9.67  -7.73  -8.  ],0.0,Al Horford,54,REB,no shot,,,feb4cb57-89ef-11e6-86b2-a45e60e298d3,31cb8a55-0ee0-4d47-aa38-4f512e54e763
111,4.44,"(5.42, -12.93, 14.02)",[ 1.17 -1.1   2.25  2.26  3.65],0.0,Jayson Tatum,55,REB,turnover,,,feb4cb57-89ef-11e6-86b2-a45e60e298d3,31cb8a55-0ee0-4d47-aa38-4f512e54e763
19,0.76,"(1.88, 5.88, 6.17)",[-0.04  0.21 -0.08  0.69 -0.24],0.0,Jayson Tatum,56,REB,no shot,,,feb4cb57-89ef-11e6-86b2-a45e60e298d3,31cb8a55-0ee0-4d47-aa38-4f512e54e763
127,5.08,"(8.37, -29.01, 30.19)",[ 6.67  7.18 -0.29  9.12  6.14],1.0,Jaylen Brown,56,REB,no shot,,,feb4cb57-89ef-11e6-86b2-a45e60e298d3,31cb8a55-0ee0-4d47-aa38-4f512e54e763
59,2.36,"(38.12, -20.11, 43.1)",[22.54 27.2  26.63 21.56 19.24],2.0,Marcus Smart,57,REB,shot,1.0,41.0,feb4cb57-89ef-11e6-86b2-a45e60e298d3,31cb8a55-0ee0-4d47-aa38-4f512e54e763
55,2.2,"(1.08, -6.23, 6.32)",[-17.76  -6.19 -10.32 -10.24  -8.35],0.0,Derrick White,58,REB,no shot,,,feb4cb57-89ef-11e6-86b2-a45e60e298d3,31cb8a55-0ee0-4d47-aa38-4f512e54e763
83,3.32,"(0.0, 0.0, 0.0)",[0. 0. 0. 0. 0.],0.0,Derrick White,58,REB,no shot,,,feb4cb57-89ef-11e6-86b2-a45e60e298d3,31cb8a55-0ee0-4d47-aa38-4f512e54e763
110,4.4,"(19.48, -6.65, 20.58)",[15.62 17.36 15.21 17.81 20.49],1.0,Derrick White,58,REB,no shot,,,feb4cb57-89ef-11e6-86b2-a45e60e298d3,31cb8a55-0ee0-4d47-aa38-4f512e54e763
51,2.04,"(-0.59, 0.15, 0.61)",[-4.35 -2.61 -3.5  -4.54 -2.61],0.0,Jayson Tatum,59,REB,no shot,,,feb4cb57-89ef-11e6-86b2-a45e60e298d3,31cb8a55-0ee0-4d47-aa38-4f512e54e763
27,1.08,"(25.25, -14.79, 29.26)",[ 17.53  44.73  59.32 -21.78 -15.1 ],2.0,Marcus Smart,60,REB,shot,2.0,2.0,feb4cb57-89ef-11e6-86b2-a45e60e298d3,31cb8a55-0ee0-4d47-aa38-4f512e54e763
51,2.04,"(6.95, -15.16, 16.68)",[-2.42  5.14 -0.12  3.35  2.92],0.0,Al Horford,61,REB,no shot,,,feb4cb57-89ef-11e6-86b2-a45e60e298d3,31cb8a55-0ee0-4d47-aa38-4f512e54e763
99,3.96,"(0.0, 3.48, 3.48)",[-1.53 -3.9   0.54  0.08 -1.14],0.0,Robert Williams III,61,REB,no shot,,,feb4cb57-89ef-11e6-86b2-a45e60e298d3,31cb8a55-0ee0-4d47-aa38-4f512e54e763
129,5.16,"(-0.71, 11.75, 11.77)",[-3.18 -6.96 -0.03 -2.25 -1.87],0.0,Marcus Smart,61,REB,no shot,,,feb4cb57-89ef-11e6-86b2-a45e60e298d3,31cb8a55-0ee0-4d47-aa38-4f512e54e763
167,6.68,"(7.33, 4.41, 8.55)",[5.38 3.39 4.32 5.98 6.61],0.0,Jaylen Brown,61,REB,no shot,,,feb4cb57-89ef-11e6-86b2-a45e60e298d3,31cb8a55-0ee0-4d47-aa38-4f512e54e763
15,0.6,"(12.76, -11.4, 17.11)",[6.06 7.22 6.06 6.51 8.57],0.0,Derrick White,62,REB,shot,6.0,2.0,feb4cb57-89ef-11e6-86b2-a45e60e298d3,31cb8a55-0ee0-4d47-aa38-4f512e54e763
141,5.64,"(-8.31, 11.97, 14.57)",[-5.59 -8.04 -7.5  -9.34 -7.76],0.0,Marcus Smart,62,REB,shot,6.0,2.0,feb4cb57-89ef-11e6-86b2-a45e60e298d3,31cb8a55-0ee0-4d47-aa38-4f512e54e763
178,7.12,"(7.05, 8.29, 10.88)",[4.03 4.85 6.36 4.02 6.18],2.0,Jayson Tatum,62,REB,shot,6.0,2.0,feb4cb57-89ef-11e6-86b2-a45e60e298d3,31cb8a55-0ee0-4d47-aa38-4f512e54e763
32,1.28,"(1.75, -1.33, 2.2)",[0.62 1.22 1.22 0.66 0.95],0.0,Jaylen Brown,63,REB,no shot,,,feb4cb57-89ef-11e6-86b2-a45e60e298d3,31cb8a55-0ee0-4d47-aa38-4f512e54e763
41,1.64,"(13.74, -9.73, 16.84)",[3.05 9.63 5.98 4.08 7.17],0.0,Robert Williams III,63,REB,no shot,,,feb4cb57-89ef-11e6-86b2-a45e60e298d3,31cb8a55-0ee0-4d47-aa38-4f512e54e763
156,6.24,"(-0.44, 6.93, 6.94)",[-1.31 -0.14 -1.53 -1.18 -0.47],0.0,Derrick White,63,REB,no shot,,,feb4cb57-89ef-11e6-86b2-a45e60e298d3,31cb8a55-0ee0-4d47-aa38-4f512e54e763
197,7.88,"(nan, nan, nan)",,,Jaylen Brown,63,REB,no shot,,,feb4cb57-89ef-11e6-86b2-a45e60e298d3,31cb8a55-0ee0-4d47-aa38-4f512e54e763
31,1.24,"(12.74, -8.03, 15.06)",[11.25  7.43  8.27  7.27  5.98],0.0,Marcus Smart,64,REB,shot,1.0,50.0,feb4cb57-89ef-11e6-86b2-a45e60e298d3,31cb8a55-0ee0-4d47-aa38-4f512e54e763
63,2.52,"(6.16, 6.76, 9.15)",[4.92 0.98 2.53 3.56 1.07],0.0,Jayson Tatum,64,REB,shot,1.0,50.0,feb4cb57-89ef-11e6-86b2-a45e60e298d3,31cb8a55-0ee0-4d47-aa38-4f512e54e763
14,0.56,"(-1.16, 5.22, 5.35)",[-2.39 -3.87 -3.51 -2.7  -3.13],0.0,Al Horford,65,REB,no shot,,,feb4cb57-89ef-11e6-86b2-a45e60e298d3,31cb8a55-0ee0-4d47-aa38-4f512e54e763
139,5.56,"(1.61, 1.14, 1.97)",[1.01 1.49 1.67 1.23 1.44],0.0,Marcus Smart,65,REB,no shot,,,feb4cb57-89ef-11e6-86b2-a45e60e298d3,31cb8a55-0ee0-4d47-aa38-4f512e54e763
157,6.28,"(6.71, 14.26, 15.76)",[3.12 5.41 6.18 5.87 1.72],3.0,Jayson Tatum,67,REB,no shot,,,feb4cb57-89ef-11e6-86b2-a45e60e298d3,31cb8a55-0ee0-4d47-aa38-4f512e54e763
6,0.24,"(5.0, -12.81, 13.75)",[ 1.56  4.66 -0.38  1.29  2.42],0.0,Jayson Tatum,68,REB,shot,6.0,2.0,feb4cb57-89ef-11e6-86b2-a45e60e298d3,31cb8a55-0ee0-4d47-aa38-4f512e54e763
16,0.64,"(10.73, -11.36, 15.63)",[5.34 6.02 5.69 7.23 5.44],0.0,Al Horford,69,REB,no shot,,,feb4cb57-89ef-11e6-86b2-a45e60e298d3,31cb8a55-0ee0-4d47-aa38-4f512e54e763
142,5.68,"(-6.01, 18.49, 19.44)",[-8.76 -5.43 -6.86 -5.35 -6.25],0.0,Jaylen Brown,69,REB,no shot,,,feb4cb57-89ef-11e6-86b2-a45e60e298d3,31cb8a55-0ee0-4d47-aa38-4f512e54e763
172,6.88,"(-5.44, 8.4, 10.01)",[-6.31 -8.36 -5.09 -5.93 -6.23],0.0,Jaylen Brown,70,REB,no shot,,,feb4cb57-89ef-11e6-86b2-a45e60e298d3,31cb8a55-0ee0-4d47-aa38-4f512e54e763
36,1.44,"(3.54, 0.5, 3.58)",[ 28.    30.14 -12.48 -10.87 -21.46],1.0,Al Horford,71,REB,no shot,,,feb4cb57-89ef-11e6-86b2-a45e60e298d3,31cb8a55-0ee0-4d47-aa38-4f512e54e763
20,0.8,"(7.58, -6.85, 10.22)",[4.38 5.39 5.11 6.07 4.8 ],2.0,Al Horford,72,REB,turnover,,,feb4cb57-89ef-11e6-86b2-a45e60e298d3,31cb8a55-0ee0-4d47-aa38-4f512e54e763
84,3.36,"(11.47, 20.4, 23.4)",[4.77 7.74 6.53 6.55 6.08],1.0,Derrick White,72,REB,turnover,,,feb4cb57-89ef-11e6-86b2-a45e60e298d3,31cb8a55-0ee0-4d47-aa38-4f512e54e763
48,1.92,"(6.79, -4.96, 8.41)",[  3.07 -29.41   2.33  25.61  15.2 ],1.0,P.J. Tucker,0,TO,no shot,,,feb4d380-89ef-11e6-9eb6-a45e60e298d3,31cb8a55-0ee0-4d47-aa38-4f512e54e763
118,4.72,"(-13.41, -1.89, 13.54)",[-26.51 -31.48  -0.27 -12.08 -15.46],0.0,Kyle Lowry,0,TO,no shot,,,feb4d380-89ef-11e6-9eb6-a45e60e298d3,31cb8a55-0ee0-4d47-aa38-4f512e54e763
96,3.84,"(-4.22, -0.47, 4.25)",[ -6.11  -6.66 -10.62  -6.34  -7.26],0.0,Jimmy Butler,1,TO,shot,1.0,50.0,feb4d380-89ef-11e6-9eb6-a45e60e298d3,31cb8a55-0ee0-4d47-aa38-4f512e54e763
62,2.48,"(-14.58, 16.0, 21.65)",[-22.3  -17.92 -14.78 -20.76 -14.1 ],0.0,Jimmy Butler,2,TO,shot,2.0,2.0,feb4d380-89ef-11e6-9eb6-a45e60e298d3,31cb8a55-0ee0-4d47-aa38-4f512e54e763
51,2.04,"(18.74, -8.22, 20.46)",[ 9.45 18.62 12.    9.42  9.31],1.0,Victor Oladipo,4,TO,shot,1.0,50.0,feb4d380-89ef-11e6-9eb6-a45e60e298d3,31cb8a55-0ee0-4d47-aa38-4f512e54e763
113,4.52,"(-3.12, 1.97, 3.69)",[-2.6  -3.65 -5.49 -3.21 -5.11],0.0,Jimmy Butler,4,TO,shot,1.0,50.0,feb4d380-89ef-11e6-9eb6-a45e60e298d3,31cb8a55-0ee0-4d47-aa38-4f512e54e763
62,2.48,"(7.82, 4.67, 9.11)",[5.53 5.62 6.11 4.2  3.97],0.0,Gabe Vincent,5,TO,shot,2.0,41.0,feb4d380-89ef-11e6-9eb6-a45e60e298d3,31cb8a55-0ee0-4d47-aa38-4f512e54e763
16,0.64,"(-0.3, 0.05, 0.3)",[-0.3  -0.5  -0.45 -0.32 -0.63],0.0,Jimmy Butler,7,TO,no shot,,,feb4d380-89ef-11e6-9eb6-a45e60e298d3,31cb8a55-0ee0-4d47-aa38-4f512e54e763
126,5.04,"(-4.76, -4.67, 6.67)",[-7.46 -8.23 -7.68 -8.65 -6.84],0.0,Max Strus,7,TO,no shot,,,feb4d380-89ef-11e6-9eb6-a45e60e298d3,31cb8a55-0ee0-4d47-aa38-4f512e54e763
64,2.56,"(10.61, 1.82, 10.76)",[-23.05  20.98  34.59  -9.79   6.1 ],1.0,Kyle Lowry,8,TO,foul,,,feb4d380-89ef-11e6-9eb6-a45e60e298d3,31cb8a55-0ee0-4d47-aa38-4f512e54e763
95,3.8,"(8.46, -3.71, 9.24)",[5.56 6.11 5.48 2.44 4.75],0.0,Jimmy Butler,10,SHOT,no shot,,,feb4d380-89ef-11e6-9eb6-a45e60e298d3,31cb8a55-0ee0-4d47-aa38-4f512e54e763
